1,"Riverside iga",default.jpg,2," ",,"228-244 riverside boulevard",,Douglas,1,3,0,0,0,,4814,,,,"	  ",1,"0000-00-00 00:00:00",146.73854,-19.31749,285
2,"Mt louisa iga",default.jpg,2," ",,"Cnr bayswater rd and crestbrook drive",,"Mt louisa",1,3,0,0,0,,4814,,,,"	  ",1,"0000-00-00 00:00:00",146.7323621,-19.2731058,284
3,"Capital chemist batemans bay",default.jpg,2," ",,"Shop g41, 1 perry street",,"Batemans bay",2,0,0,0,0,,2536,"02 4472 9720",,,"	  ",2,"0000-00-00 00:00:00",150.175868,-35.706962,9
4,"Positive health & beauty - off the shelf",default.jpg,2," ",,"Shop 7, cinema walk, vernon street",,"Coffs harbour",2,0,0,0,0,,2450,"02 6652 9796",,,"	  ",2,"0000-00-00 00:00:00",153.1159287,-30.2965027,205
5,"Malouf group pharmacy merthyr",default.jpg,2,"Richard Malouf",Rosemary,"117 bloomfield street",,Cleveland,1,1,0,3,0,,4163,"(07) 3286 3322","(07) 3286 9844",cleveland@maloufpharmacies.com.au,"monday - friday 7.30am-7.30pm
saturday 8am-6pm
sunday 8am-6pm
	  
	  
	  
	  ",2,"2012-05-28 16:52:44",153.266694,-27.527548,618
6,"Brookside supa iga",default.jpg,2," ",,"Brookside shopping centre, 159 osbourne road",,Mitchelton,1,3,0,0,0,,4053,,,,"	  ",1,"0000-00-00 00:00:00",152.979983,-27.41052,271
7,"Malouf group pharmacy merthyr",default.jpg,2,"Ian Malouf",Cindy,"Merthyr village shopping centre ","95 merthyr road","New farm",1,1,0,3,0,,4005,"(07) 3358 2223","(07) 3254 1887",merthyr@maloufpharmacies.com.au,"monday-friday 8am-8.30pm
saturday 8am-5.30pm
sunday 8am-5.30pm
	  
	  ",2,"2012-05-28 16:59:55",153.047073,-27.467384,619
8,"Mcdowall supa iga",default.jpg,2," ",,"Mcdowall village shopping centre, shop 467, 109 beckett road",,Mcdowall,1,3,0,0,0,,4053,,,,"	  ",1,"0000-00-00 00:00:00",152.9897488,-27.3802476,273
9,"Malouf group pharmacies toowoomba",default.jpg,2," ",Marie,"The ridge  shopping centre","Hume st",Toowoomba,1,1,0,3,0,,4350,"(07) 4635 6522","(08) 4635 6544",theridge@maloufpharmacies.com.au,"	  
	  ",1,"0000-00-00 00:00:00",151.9545691,-27.5799619,47
10,"Malouf group pharmacies bundaberg",default.jpg,2," ",Tracey,"Southside central","Cnr walker and barolin streets",Bundaberg,1,1,0,3,9,,4670,"(07) 4152 0522","(07) 4152 1361",bundaberg@maloufpharmacies.com.au,"	  
	  ",1,"0000-00-00 00:00:00",152.3544689,-24.8806915,49
